Timestamp,State,StatName,Location,Duration
14:37:59.069,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (48),
14:39:49.771,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (48),1106.98
14:39:49.960,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (33),
14:40:25.441,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (33),354.83
14:40:25.633,Start,AIStat_Hunger,Lunch,
14:40:49.692,End,AIStat_Hunger,Lunch,240.58
14:40:49.878,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,
14:41:03.797,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,139.20
14:41:03.992,Start,AIStat_Hunger,Lunch (1),
14:41:18.633,End,AIStat_Hunger,Lunch (1),146.44
14:41:18.824,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (2),
14:41:33.170,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (2),143.48
14:41:33.364,Start,AIStat_Hunger,Lunch (14),
14:41:47.470,End,AIStat_Hunger,Lunch (14),141.07
14:41:47.669,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (36),
14:58:34.947,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (36),10072.80
14:58:35.142,Start,AIStat_Energy,椅子-Corbu (3),
14:58:44.879,End,AIStat_Energy,椅子-Corbu (3),97.36
14:58:45.066,Start,AIStat_Hunger,Lunch (2),
14:58:58.777,End,AIStat_Hunger,Lunch (2),137.10
14:58:58.977,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (33),
14:59:15.229,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (33),162.52
14:59:15.428,Start,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (1),
14:59:19.007,End,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (1),35.77
