Timestamp,State,StatName,Location,Duration
14:37:57.055,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (4),
14:40:11.332,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (4),1342.73
14:40:11.524,Start,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (1),
14:40:14.103,End,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (1),25.79
14:40:14.311,Start,AIStat_Bladder,衛生器具 - 象牙色 -- 96fd958814cef15566007b16de22b5ab (1),
14:40:26.542,End,AIStat_Bladder,衛生器具 - 象牙色 -- 96fd958814cef15566007b16de22b5ab (1),122.30
14:40:26.742,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (32),
14:41:11.525,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (32),447.84
14:41:11.715,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (32),
14:41:41.302,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (32),295.87
14:41:41.494,Start,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (2),
14:41:42.989,End,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (2),14.96
14:41:43.200,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (2),
14:41:55.371,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (2),121.72
14:41:55.566,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (48),
14:58:37.946,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (48),10023.79
14:58:38.138,Start,AIStat_Energy,椅子-Corbu (2),
14:58:47.872,End,AIStat_Energy,椅子-Corbu (2),97.33
14:58:48.059,Start,AIStat_Hunger,Lunch (11),
14:59:03.018,End,AIStat_Hunger,Lunch (11),149.59
14:59:03.213,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (32),
14:59:20.957,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (32),177.43
14:59:21.150,Start,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (2),
14:59:24.327,End,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (2),31.76
14:59:24.529,Start,AIStat_Hunger,Lunch,
14:59:37.557,End,AIStat_Hunger,Lunch,130.30
14:59:37.867,Start,AIStat_Energy,椅子-Corbu (7),
14:59:46.500,End,AIStat_Energy,椅子-Corbu (7),86.47
14:59:46.697,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,
15:00:00.547,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2,138.49
15:00:00.734,Start,AIStat_Hunger,Lunch,
15:00:15.045,End,AIStat_Hunger,Lunch,143.13
15:00:15.233,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (1),
15:00:27.917,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (1),126.84
15:00:28.104,Start,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef,
15:00:31.189,End,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef,30.85
15:00:31.393,Start,AIStat_Hunger,Lunch,
15:00:44.459,End,AIStat_Hunger,Lunch,130.65
15:00:44.655,Start,AIStat_Energy,椅子-Corbu (3),
15:00:52.772,End,AIStat_Energy,椅子-Corbu (3),81.19
15:00:52.960,Start,AIStat_Hunger,Lunch,
15:01:06.321,End,AIStat_Hunger,Lunch,133.60
15:01:06.511,Start,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (2),
15:01:07.765,End,AIStat_Hydrated,特殊設備 - 500 x 610 x 875mm -- 3973f108c8c03b6970fe3bbdc13086ef (2),12.54
15:01:07.972,Start,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (3),
15:01:20.830,End,AIStat_Bladder,衛生器具 - プライベート - 6.1 Lpf より大きいフラッシュ -- 7ed6c794b9f3900cc6cbea7e8c8f88d2 (3),128.57
15:01:21.021,Start,AIStat_Hunger,Lunch,
