Timestamp,State,StatName,Location,Duration
15:18:55.214,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (28),
15:21:22.721,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (28),1475.04
15:21:22.913,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,
15:22:03.049,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,401.35
15:22:03.237,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,
15:22:30.199,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,269.61
15:22:30.403,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,
15:23:50.083,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,796.78
15:23:50.279,Start,AIStat_Energy,椅子-Corbu (11),
15:23:58.313,End,AIStat_Energy,椅子-Corbu (11),80.36
15:23:58.514,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,
15:25:12.301,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,737.88
15:25:12.489,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,
15:26:04.923,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f,524.34
15:26:05.132,Start,AIStat_Bladder,衛生器具 - 象牙色 -- 96fd958814cef15566007b16de22b5ab (1),
15:26:17.276,End,AIStat_Bladder,衛生器具 - 象牙色 -- 96fd958814cef15566007b16de22b5ab (1),121.45
15:26:17.471,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (43),
15:27:05.968,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (43),484.97
15:27:05.983,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (43),
15:28:23.581,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (43),776.00
15:28:23.777,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (43),
15:28:44.798,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (43),210.22
15:28:44.998,Start,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (43),
15:29:46.508,End,AIStat_Work,オフィスチェア -- efbca5d6046312743e0c22ff05f8b18f (43),615.10
